weekday,hour,sensor,speed,cord_dist,timcost(s)
Thu,15,717019,38.28708206,0.501529913513,47.157098204
Thu,15,717015,38.28708206,0.376637978738,35.413947747
Thu,15,717012,38.28708206,0.502262402942,47.2259716151
Thu,15,718099,51.44840511,0.668200635419,46.7560127931
Thu,15,763341,51.44840511,0.361652856304,25.3059405809
Thu,15,716032,51.44840511,0.337407756487,23.6094378583
Thu,15,763325,61.27658025,0.320433372172,18.8254653754
Thu,15,737292,57.50412165,0.54877111228,34.3553809279
Thu,15,718411,55.46391237,0.390200985617,25.3268023873
Thu,15,764059,57.98776972,0.877803633895,54.4958548549
Thu,15,737269,60.25816104,0.103833126708,6.20329677667
Thu,15,763490,64.76544439,0.270184558102,15.0182619501
Thu,15,737258,64.76544439,0.829144693387,46.0881713127
Thu,15,737242,64.76544439,0.0812472294191,4.51614327152
Thu,15,764050,61.22594627,0.391160051663,22.999663897
Thu,15,737232,58.18352006,0.297439128349,18.403507745
Thu,15,759259,59.89535314,0.71317918722,42.8655135899
Thu,16,769097,70.0,0.832277374339,42.8028363946
Thu,16,763727,70.0,0.139645510695,7.18176912148
Thu,16,759289,64.37405834,0.559657973601,31.2978357574
Thu,16,717045,58.74811667,0.206585251811,12.6592467755
Thu,16,768598,56.58470834,0.0568899838032,3.61942206119
Thu,16,717043,57.61473181,0.283295602159,17.7014478022
Thu,16,716063,57.52175886,0.33384110502,20.8934497465
Thu,16,717041,53.79015123,0.323084466206,21.6229932756
Thu,16,717040,53.79015123,0.196012381761,13.118471657
Thu,16,763743,53.79015123,0.1315516349,8.80432337166
Thu,16,717036,53.79015123,0.362427303781,24.2560815275
Thu,16,763330,55.43166245,0.674369496326,43.7968135804
Thu,16,717033,53.30072362,0.252025699416,17.0221425954
Thu,16,718103,47.49227075,0.256415442797,19.4367542232
Thu,16,717031,47.49227075,0.273212412862,20.7099949269
Thu,16,717029,47.49227075,0.252295142898,19.1244280404
Thu,16,717026,52.26993337,0.144830724592,9.97496218027
Thu,16,773647,49.30749395,0.212550235517,15.518550763
Thu,16,764244,49.55923778,0.378754760679,27.5128754905
Thu,16,718414,52.18439478,0.54997232596,37.940468253
Thu,16,717019,51.47931507,0.501529913513,35.0724885557
Thu,16,717015,51.47931507,0.376637978738,26.3386706217
Thu,16,717012,51.47931507,0.502262402942,35.1237122742
Thu,16,718099,54.65685814,0.668200635419,44.0113531836
Thu,16,763341,54.65685814,0.361652856304,23.8204376724
Thu,16,716032,54.65685814,0.337407756487,22.2235226226
Thu,16,763325,60.84047604,0.320433372172,18.9604062115
Thu,16,737292,58.10693845,0.54877111228,33.9989690889
Thu,16,718411,56.52827741,0.390200985617,24.8499266665
Thu,16,764059,58.69708115,0.877803633895,53.8373121816
Thu,16,737269,60.99134065,0.103833126708,6.1287266711
Thu,16,763490,65.30745446,0.270184558102,14.8936199888
Thu,16,737258,65.30745446,0.829144693387,45.705668991
Thu,16,737242,65.30745446,0.0812472294191,4.47866217306
Thu,16,764050,61.59615281,0.391160051663,22.8614308158
Thu,16,737232,59.70607326,0.297439128349,17.9342033999
Thu,16,759259,59.34936628,0.71317918722,43.2598565902
Thu,17,769097,70.0,0.832277374339,42.8028363946
Thu,17,763727,70.0,0.139645510695,7.18176912148
Thu,17,759289,52.97327703,0.559657973601,38.0336807145
Thu,17,717045,35.94655405,0.206585251811,20.6892406289
Thu,17,768598,35.15550356,0.0568899838032,5.82565803224
Thu,17,717043,43.25895831,0.283295602159,23.5757911798
Thu,17,716063,45.01065411,0.33384110502,26.7009667341
Thu,17,717041,39.4980083,0.323084466206,29.4471576771
Thu,17,717040,39.4980083,0.196012381761,17.8653204227
Thu,17,763743,39.4980083,0.1315516349,11.9901206674
Thu,17,717036,39.4980083,0.362427303781,33.033014822
Thu,17,763330,46.97540057,0.674369496326,51.6808831286
Thu,17,717033,45.29727381,0.252025699416,20.0297378095
Thu,17,718103,36.42309903,0.256415442797,25.34368625
Thu,17,717031,36.42309903,0.273212412862,27.0038715127
Thu,17,717029,36.42309903,0.252295142898,24.9364424945
Thu,17,717026,49.14319818,0.144830724592,10.6096189878
Thu,17,773647,46.36594098,0.212550235517,16.5030803147
Thu,17,764244,47.32117026,0.378754760679,28.8141043629
Thu,17,718414,50.51620289,0.54997232596,39.1933728227
Thu,17,717019,49.50247957,0.501529913513,36.4730757799
Thu,17,717015,49.50247957,0.376637978738,27.3904809463
Thu,17,717012,49.50247957,0.502262402942,36.52634507
Thu,17,718099,50.33511467,0.668200635419,47.7901421955
Thu,17,763341,50.33511467,0.361652856304,25.865646502
Thu,17,716032,50.33511467,0.337407756487,24.1316212611
Thu,17,763325,62.54508936,0.320433372172,18.4436564345
Thu,17,737292,58.62918314,0.54877111228,33.6961202323
Thu,17,718411,56.27098298,0.390200985617,24.9635509072
Thu,17,764059,58.54817855,0.877803633895,53.9742338752
Thu,17,737269,61.03323427,0.103833126708,6.12451987214
Thu,17,763490,65.32177455,0.270184558102,14.8903549523
Thu,17,737258,65.32177455,0.829144693387,45.6956492189
Thu,17,737242,65.32177455,0.0812472294191,4.47768034356
Thu,17,764050,60.8357437,0.391160051663,23.1471845389
Thu,17,737232,59.1195823,0.297439128349,18.1121181916
Thu,17,759259,58.29156915,0.71317918722,44.0448783834
Thu,18,769097,70.0,0.832277374339,42.8028363946
Thu,18,763727,70.0,0.139645510695,7.18176912148
Thu,18,759289,50.17229276,0.559657973601,40.1569988958
Thu,18,717045,30.34458552,0.206585251811,24.5087185663
Thu,18,768598,30.47949149,0.0568899838032,6.71940152804
Thu,18,717043,40.91416713,0.283295602159,24.9269199231
Thu,18,716063,43.44359533,0.33384110502,27.6641002878
Thu,18,717041,38.63187657,0.323084466206,30.1073668072
Thu,18,717040,38.63187657,0.196012381761,18.2658632453
Thu,18,763743,38.63187657,0.1315516349,12.2589407424
Thu,18,717036,38.63187657,0.362427303781,33.7736193386
Thu,18,763330,42.81689666,0.674369496326,56.7002836766
Thu,18,717033,40.51567611,0.252025699416,22.3936166198
Thu,18,718103,37.3249906,0.256415442797,24.7313014479
Thu,18,717031,37.3249906,0.273212412862,26.3513713062
Thu,18,717029,37.3249906,0.252295142898,24.3338980086
Thu,18,717026,47.48057779,0.144830724592,10.9811344512
Thu,18,773647,44.69938004,0.212550235517,17.118377194
Thu,18,764244,43.76847608,0.378754760679,31.1529498069
Thu,18,718414,43.83951698,0.54997232596,45.1624586639
Thu,18,717019,41.45635072,0.501529913513,43.5520169356
Thu,18,717015,41.45635072,0.376637978738,32.7066106859
